,Date,Flow,Temps,Pr
0,1958-01-31,0.6297967739600451,-9.27892857142857,1.9614999999999998
1,1958-02-28,0.5875943029100089,-12.514607142857143,1.1836428571428572
2,1958-03-31,0.5684842031346685,-9.787064516129032,0.12261290322580645
3,1958-04-30,4.465058763614615,-1.4515,1.7385333333333333
4,1958-05-31,16.58401567215481,3.987838709677419,2.387806451612903
5,1958-06-30,8.435912346521487,10.434566666666665,2.4711333333333334
6,1958-07-31,7.757552115871963,12.778935483870967,4.504612903225807
7,1958-08-31,9.033236876306537,10.330838709677419,2.992161290322581
8,1958-09-30,14.946557150607026,8.468133333333334,3.9989
9,1958-10-31,19.42409146126447,3.952677419354839,4.441225806451613
10,1958-11-30,5.368110695608869,-0.7388666666666667,1.9666
11,1958-12-31,0.8964925685796183,-8.48709677419355,1.8093225806451612
12,1959-01-31,0.45633104877426167,-10.593225806451612,2.154483870967742
13,1959-02-28,1.3338098241754917,-6.683750000000001,0.10989285714285714
14,1959-03-31,4.132399704987889,-2.4089032258064518,1.7910645161290322
15,1959-04-30,11.812255431434128,0.9581333333333333,2.585266666666667
16,1959-05-31,18.41337020423992,7.355903225806451,0.6662903225806451
17,1959-06-30,2.077869675999534,10.969233333333333,1.3107
18,1959-07-31,1.5857316872685174,14.063806451612903,1.7401290322580645
19,1959-08-31,1.566196722556126,13.031129032258063,1.7834838709677419
20,1959-09-30,0.42201973346586147,7.9258999999999995,0.5396333333333333
21,1959-10-31,4.769235480142894,2.791806451612903,3.3165483870967742
22,1959-11-30,8.506518450239925,-1.8393000000000002,4.792933333333334
23,1959-12-31,2.3301539069504145,-6.049838709677419,6.02541935483871
24,1960-01-31,0.49776841986112985,-9.432290322580645,1.4358064516129032
25,1960-02-29,0.38274114939728715,-12.281206896551723,1.3693448275862068
26,1960-03-31,0.5157839970906782,-5.6419999999999995,0.918258064516129
27,1960-04-30,2.906828828016022,-0.3878333333333333,0.4585666666666667
28,1960-05-31,42.42800816109993,7.486,1.0917741935483871
29,1960-06-30,12.097540427191182,12.792566666666666,3.4744333333333333
30,1960-07-31,28.85981276595658,10.781709677419355,7.557709677419354
31,1960-08-31,7.880140882474446,11.033645161290323,3.2361935483870967
32,1960-09-30,9.635124646160586,6.936333333333334,2.5229333333333335
33,1960-10-31,12.030633801919072,-0.018290322580645165,3.3118064516129033
34,1960-11-30,2.7357615345990154,-4.7474,5.574033333333333
35,1960-12-31,0.7838131394030626,-7.399290322580645,1.3874193548387097
36,1961-01-31,0.5090532876272811,-10.341548387096775,1.5458064516129033
37,1961-02-28,0.8636218229583653,-4.382607142857142,1.2428214285714285
38,1961-03-31,8.875957924931889,-0.41867741935483876,0.8583870967741936
39,1961-04-30,10.313194911803746,-0.01706666666666677,0.7444333333333333
40,1961-05-31,21.22177709789534,6.065967741935483,1.383483870967742
41,1961-06-30,8.825304701038656,11.025233333333334,2.342966666666667
42,1961-07-31,8.055435608135928,11.832322580645162,3.8916774193548385
43,1961-08-31,6.491501996083683,9.688967741935484,2.3150322580645164
44,1961-09-30,6.549506122351721,8.358066666666666,3.8763
45,1961-10-31,25.250920830395643,5.226612903225806,5.742225806451613
46,1961-11-30,13.333401711494558,-1.8008333333333333,5.009666666666667
47,1961-12-31,1.2054174623014902,-8.068451612903226,1.7658709677419353
48,1962-01-31,0.5052379049273783,-6.3631290322580645,1.8261935483870968
49,1962-02-28,0.36957670854947783,-5.428535714285714,0.9714285714285714
50,1962-03-31,0.3654815047522933,-9.85983870967742,1.2490967741935484
51,1962-04-30,6.6044354664399485,-0.47590000000000005,1.7948666666666666
52,1962-05-31,24.8115528641063,4.037290322580645,2.204225806451613
53,1962-06-30,15.268014883276622,8.555900000000001,1.8054999999999999
54,1962-07-31,7.7502707364802665,10.93258064516129,3.2226129032258064
55,1962-08-31,15.304695730376306,8.669580645161291,5.4193225806451615
56,1962-09-30,11.579009820324893,5.641866666666667,2.4010333333333334
57,1962-10-31,5.091302691691327,3.5333225806451614,1.1480000000000001
58,1962-11-30,3.0229447694145763,-4.2348333333333334,2.3222
59,1962-12-31,1.9065780070419964,-9.147677419354839,1.7322580645161292
60,1963-01-31,0.5098596098159806,-12.52016129032258,0.14622580645161293
61,1963-02-28,0.34163036237644734,-12.974607142857142,0.19399999999999998
62,1963-03-31,0.6634712573272709,-5.804677419354839,0.5605483870967741
63,1963-04-30,5.533199261094135,0.08073333333333328,1.4077666666666668
64,1963-05-31,28.19134280831267,6.2175806451612905,3.9759677419354835
65,1963-06-30,7.761570834978383,12.374466666666667,2.3915333333333333
66,1963-07-31,11.859234409811759,12.01325806451613,4.074548387096774
67,1963-08-31,20.160838161268458,10.84441935483871,6.78358064516129
68,1963-09-30,13.697329451721034,6.664566666666667,3.031833333333333
69,1963-10-31,8.191669891669553,2.4741935483870967,1.9347419354838709
70,1963-11-30,1.8537398654646515,-3.5125666666666664,3.6752
71,1963-12-31,0.5711577956860636,-7.521451612903226,0.13219354838709677
72,1964-01-31,0.5402176571551258,-6.579870967741935,0.062387096774193546
73,1964-02-29,0.39234101956367917,-6.837689655172414,1.006103448275862
74,1964-03-31,0.33822753776649717,-6.751612903225807,0.10387096774193548
75,1964-04-30,13.045471714978198,0.8758666666666668,0.8696666666666667
76,1964-05-31,12.692776679297365,6.93258064516129,1.7244193548387097
77,1964-06-30,10.087892318162169,9.3752,3.9858666666666664
78,1964-07-31,6.38693326920464,10.46516129032258,3.2774193548387096
79,1964-08-31,7.066933338099568,10.583548387096773,2.950516129032258
80,1964-09-30,6.434462389821825,6.6033333333333335,1.9326
